RestaurantID,RestaurantName,City,Location.Longitude,Location.Latitude,AverageCostForTwo,AggregateRating,RatingText,Votes,Date
6317637,Le Petit Souffle,Makati City,121.027535,14.565443,1100,4.8,Excellent,314,2017-07-22 22:28:09
6304287,Izakaya Kikufuji,Makati City,121.014101,14.553708,1200,,4.5,Excellent,591,2018-07-22 22:28:09
6300781,Buffet 101,Pasay City,120.97966670000001,14.53133333,2000,4,Very Good,520.0,2018-04-22 22:28:09
6301290,Vikings,Pasay City,120.9793333,14.54,2000,4.2,Very Good,677.0,2018-12-03 04:07:25
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,120.98008999999999,14.55299,6000,4.9,Excellent,621.0,2018-05-19 23:10:50
6314987,Locavore,Pasig City,121.056532,14.572041,1100,4.8,Excellent,532.0,2018-07-23 05:35:42
6309903,Silantro Fil-Mex,Pasig City,121.05791599999999,14.567689000000001,800,4.9,Excellent,1070.0,2018-01-30 21:08:38
6309455,Mad Mark's Creamery & Good Eats,Pasig City,121.06081999999999,14.570848999999999,900,4.2,Very Good,488.0,2016-08-09 23:48:51
6318433,Silantro Fil-Mex,Quezon City,121.075419,14.649503,800,4.8,Excellent,294.0,2017-12-03 09:17:59
6310470,Guevarra's,San Juan City,121.03359170000002,14.59345,1000,4.2,Very Good,458.0,2017-06-09 22:16:22
6314605,Sodam Korean Restaurant,San Juan City,121.03811,14.598889999999999,700,4.3,Very Good,223.0,2017-07-13 09:13:40
18185059,Cafe Arabelle,Santa Rosa,121.05703999999999,14.237082000000001,800,3.6,Good,29.0,2017-10-21 19:58:00
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,121.05658740000001,14.23767897,850,4,Very Good,72.0,2017-03-08 06:40:40
6318213,Balay Dako,Tagaytay City,120.95158899999998,14.101834,1200,4.5,Excellent,211.0,2018-11-10 00:08:21
18255654,Hobing Korean Dessert Cafe,Taguig City,121.045878,14.55436,600,4.5,Excellent,118.0,2017-06-12 10:02:10
6308205,Wildflour Cafe + Bakery,Taguig City,121.04621999999999,14.549337,1500,4.4,Very Good,392.0,2016-11-16 19:57:55
6315438,NIU by Vikings,Taguig City,121.053725,14.545857999999999,3000,4.7,Excellent,535.0,2016-07-15 04:19:56
6310406,The Food Hall by Todd English,Taguig City,121.0534998,14.54565535,1800,4.5,Excellent,618.0,2016-12-17 08:40:52
6600681,Chez Michou,Brasí_lia,-47.88178889,-15.76414167,55,3,Average,6.0,2018-11-23 10:14:00
6601005,Cafí© Daniel Briand,Brasí_lia,-47.88266667,-15.7775,30,3.8,Good,9.0,2016-09-21 23:39:29
6600292,Casa do Biscoito Mineiro,Brasí_lia,-47.88213611,-15.75747222,45,3.7,Good,11.0,2017-05-23 12:41:45
6600441,Maori,Brasí_lia,-47.88816667,-15.75883333,60,3.8,Good,11.0,2017-05-10 02:27:41
6600970,Pizza íæ Bessa,Brasí_lia,-47.91566667,-15.83116667,50,3.2,Average,11.0,2016-12-11 00:12:02
